unc_type,error_type,rAULC,correlation
var,mse,0.6433328146140931,0.5525971943017628
var,abs,0.8537105354695582,0.6514885130715221
std,mse,0.599748696865965,0.6697550867406186
std,abs,0.8711997161274067,0.7928317144727316
