unc_type,error_type,rAULC,correlation
var,mse,0.39117597468082665,0.27723224537888025
var,abs,0.4653907032199386,0.30294724346116736
std,mse,0.44911023732071,0.3743663938011302
std,abs,0.5307663766756362,0.40590971042443497
