unc_type,error_type,rAULC,correlation
var,mse,0.056567500248585346,0.7202702313868898
var,abs,0.24835575355151257,0.7516158910363044
std,mse,0.0009514443232769549,0.7362248529759685
std,abs,2.080929937818168e-05,0.766924303753671
