unc_type,error_type,rAULC,correlation
var,mse,0.7926522049263235,0.5342806941530626
var,abs,0.9450262486937615,0.6160339981864128
std,mse,0.48331244952397884,0.694755081436905
std,abs,0.909276483948808,0.8163027097215306
