unc_type,error_type,rAULC,correlation
var,mse,0.025347143502441515,0.6431067416998643
var,abs,0.03957376466195256,0.6828237710258387
std,mse,0.0848158777822817,0.7082013605118215
std,abs,0.07016126592302907,0.7480781072640184
