unc_type,error_type,rAULC,correlation
var,mse,0.7515180905887755,0.5923197473873111
var,abs,0.9032145518618784,0.6948059451413969
std,mse,0.6181355731345907,0.7166786379150585
std,abs,0.9314400487046924,0.844109110728338
