unc_type,error_type,rAULC,correlation
var,mse,0.8391578684135492,0.551175732165599
var,abs,0.9074821272284447,0.6491345467925086
std,mse,0.7411765202802783,0.6883137122022456
std,abs,0.943147422154449,0.8204460353808886
